Name	Family	Number	DMSO-1-DOX-1.Intensity	DMSO-1-DOX-1.Network	DMSO-2-DOX-2.Intensity	DMSO-2-DOX-2.Network	DMSO-3-DOX-3.Intensity	DMSO-3-DOX-3.Network	mRNA-DOX-NT.mRNA
MAPK13	CMGC/MAPK	7	7.0222e-035	2.0095e-013	1.3543e-018	2.3838e-008	1.0574e-010	5.4496e-008	0.00862084364175942
ATM	Atypical/PIKK/ATM	6	0	0	0	2.0823e-038	0	4.0652e-055	
ATR	Atypical/PIKK/ATR	6	4.4107e-043	2.1399e-024	4.2394e-043	1.5483e-009	1.7353e-026	1.6462e-009	
CHEK1	CAMK/CAMKL/CHK1	6	1.4736e-036	1.4501e-021	3.9708e-045	1.0077e-014	7.2021e-023	3.2341e-012	
CDK1	CMGC/CDK/CDC2	6	0	6.7036e-010	8.173e-079	2.7138e-015	1.5063e-041	5.949e-009	
MAPK1	CMGC/MAPK	6	3.8009e-035	1.7059e-013	1.6453e-020	2.8369e-008	8.4122e-011	7.5604e-007	
CDK11B	CMGC/CDK	6	8.848e-069	5.8618e-008	2.2748e-053	2.8822e-014	9.7557e-028	9.8897e-006	
CDK19	CMGC/CDK	6	2.9392e-076	6.3356e-008	8.3445e-062	2.5471e-016	2.1093e-030	4.0104e-007	
CDK2	CMGC/CDK/CDC2	6	0	1.1361e-014	1.427e-084	6.3607e-015	8.7279e-050	2.9723e-012	
CDK3	CMGC/CDK/CDC2	6	0	8.9332e-008	4.6144e-066	7.6429e-015	1.2796e-037	5.797e-009	
PRKDC	Atypical/PIKK/DNAPK	6	5.5861e-061	1.8405e-036	4.1681e-068	1.5135e-010	1.6353e-040	9.5048e-012	
MTOR	Atypical/PIKK/FRAP	6	7.9928e-080	3.6098e-020	7.7422e-052	6.2923e-014	1.0924e-030	2.4238e-009	
MAPK14	CMGC/MAPK	6	5.5187e-034	3.0449e-013	7.805e-018	5.344e-008	2.818e-010	1.4533e-007	
MAPK11	CMGC/MAPK	5	4.6679e-027	7.3641e-011	3.5087e-015	3.1403e-006	1.2817e-009		
MAPK9	CMGC/MAPK	5	7.7418e-027	1.2848e-010	3.0476e-015	1.7318e-006	1.4186e-009		
MAPK10	CMGC/MAPK	5	1.3264e-027	2.0438e-011	4.8808e-015	8.3499e-006	2.7556e-010		
MAPK8	CMGC/MAPK	5	1.3264e-027	2.0438e-011	4.8808e-015	8.3499e-006	2.7556e-010		
CSNK2A1	Other/CK2	5	2.035e-046	5.2531e-045	4.0346e-031	7.0019e-020	6.1085e-007		
MAPK6	CMGC/MAPK	5	1.3264e-027	2.0438e-011	4.8808e-015	8.3499e-006	2.7556e-010		
MAPK3	CMGC/MAPK	5	4.764e-028	6.0945e-011	2.4482e-015	9.7709e-006	3.4018e-010		
CDK14	CMGC/CDK	5	8.7607e-057		1.0388e-025	2.3658e-006	1.3485e-021	1.3969e-007	
MAPK7	CMGC/MAPK	5	1.6735e-028	1.9771e-011	1.6344e-015	6.3335e-006	2.2134e-010		
CDK16	CMGC/CDK	5	9.6718e-062		6.5239e-029	4.7271e-007	7.821e-023	6.864e-007	
CDK17	CMGC/CDK	5	2.8089e-062		3.8795e-030	2.0014e-007	5.2735e-023	9.2462e-007	
TRRAP	Atypical/PIKK	5	1.2749e-010	1.8269e-011	1.726e-015		9.538e-009	1.3657e-007	
SMG1	Atypical/PIKK	5	6.9232e-011	5.3912e-010	1.1457e-017		2.4674e-009	4.7709e-009	
CDK4	CMGC/CDK	5	2.4966e-062		1.5016e-031	9.2299e-008	3.7647e-023	2.6084e-006	
CDK5	CMGC/CDK	5	4.6844e-053		4.1074e-025	3.0568e-006	5.6138e-018	2.2072e-007	
CDK6	CMGC/CDK	5	7.4949e-057		1.36e-025	2.9146e-006	1.8172e-021	1.7127e-007	
CDK8	CMGC/CDK	5	4.1743e-052		1.4799e-029	2.6413e-007	5.3723e-019		0.00805757813761589
CDK13	CMGC/CDK	4	4.862e-050		3.1173e-022	7.251e-006	2.3489e-017		
ICK	CMGC	4	1.0085e-026	2.5017e-012	4.2856e-025		2.3274e-011		
CSNK1A1L	CK1	4	6.8378e-017	3.1564e-014	4.7855e-018	3.0468e-011			
SRPK3	CMGC	4	3.8525e-026	6.748e-012	3.3778e-025		4.7564e-012		
TTBK1	CK1	4	4.1064e-014	1.0826e-010	9.8349e-016	2.995e-011			
TTBK2	CK1	4	2.2558e-014	3.4227e-011	6.073e-016	1.5944e-011			
VRK2	CK1	4	2.0654e-014	2.0755e-011	2.1901e-015	1.409e-010			
CDK10	CMGC/CDK	4	6.8602e-052		1.5886e-039	8.6145e-011	1.7307e-019		
VRK3	CK1	4	2.2558e-014	3.4227e-011	6.073e-016	1.5944e-011			
CDK7	CMGC/CDK	4	2.8409e-048		7.4597e-020		4.4098e-017		0.00203547830224519
CDK15	CMGC/CDK	4	3.789e-050		2.7465e-022	6.3485e-006	2.898e-017		
