name	id	Name	ID New	List	Name State	List containing	ID State
ALK2	Q04771	ACVR1	Q04771	ACVR1 ACVRLK2	F	N	
ALK4	P36896	ACVR1B	P36896	ACVR1B ACVRLK4 ALK4	F	Y	
ALK7	Q8NER5	ACVR1C	Q8NER5	ACVR1C ALK7	F	Y	
ACTR2	P27037	ACVR2A	P27037	ACVR2A ACVR2	F	N	
ACTR2B	Q13705	ACVR2B	Q13705	ACVR2B	F	N	
ALK1	P37023	ACVRL1	P37023	ACVRL1 ACVRLK1 ALK1	F	Y	
AKT1	P31749	AKT1	P31749	AKT1 PKB RAC	T	Y	
AKT2	P31751	AKT2	P31751	AKT2	T	Y	
AKT3	Q9Y243	AKT3	Q9Y243	AKT3 PKBG	T	Y	
ALK	Q9UM73	ALK	Q9UM73	ALK	T	Y	
MISR2	Q16671	AMHR2	Q16671	AMHR2 AMHR MISR2	F	Y	
ARAF	P10398	ARAF	P10398	ARAF ARAF1 PKS PKS2	T	Y	
ATM	Q13315	ATM	Q13315	ATM	T	Y	
ATR	Q13535	ATR	Q13535	ATR FRP1	T	Y	
AurA	O14965	AURKA	O14965	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	F	N	
AurB	C7G533	AURKB	Q96GD4	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	F	N	Change
AurC	Q9UQB9	AURKC	Q9UQB9	AURKC AIE2 AIK3 AIRK3 ARK3 STK13	F	N	
AXL	P30530	AXL	P30530	AXL UFO	T	Y	
BCKDK	O14874	BCKDK	O14874	BCKDK	T	Y	
BMPR1A	P36894	BMPR1A	P36894	BMPR1A ACVRLK3 ALK3	T	Y	
BMPR1B	B4DSV1	BMPR1B	O00238	BMPR1B	T	Y	Change
BMPR2	Q13873	BMPR2	Q13873	BMPR2 PPH1	T	Y	
BMX	P51813	BMX	P51813	BMX	T	Y	
BRAF	P15056	BRAF	P15056	BRAF BRAF1 RAFB1	T	Y	
BRSK1	Q8TDC3	BRSK1	Q8TDC3	BRSK1 KIAA1811 SAD1 SADB	T	Y	
BRSK2	Q8IWQ3	BRSK2	Q8IWQ3	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	T	Y	
BTK	Q06187	BTK	Q06187	BTK AGMX1 ATK BPK	T	Y	
CaMK1a	Q14012	CAMK1	Q14012	CAMK1	F	N	
CaMK1g	Q96NX5	CAMK1G	Q96NX5	CAMK1G CLICK3 VWS1	F	N	
CaMK2b	Q13554	CAMK2B	Q13554	CAMK2B CAM2 CAMK2 CAMKB	F	N	
CaMK2d	Q13557	CAMK2D	Q13557	CAMK2D CAMKD	F	N	
CaMK2g	Q13555	CAMK2G	Q13555	CAMK2G CAMK CAMK-II CAMKG	F	N	
CaMK4	Q16566	CAMK4	Q16566	CAMK4 CAMK CAMK-GR CAMKIV	F	N	
CASK	B7ZKY2	CASK	B7ZKY2	CASK	T	Y	
MRCKa	Q5VT25	CDC42BPA	Q5VT25	CDC42BPA KIAA0451	F	N	
MRCKb	Q9Y5S2	CDC42BPB	Q9Y5S2	CDC42BPB KIAA1124	F	N	
DMPK2	Q6DT37	CDC42BPG	Q6DT37	CDC42BPG DMPK2	F	Y	
CDC2	P06493	CDK1	P06493	CDK1 CDC2 CDC28A CDKN1 P34CDC2	F	Y	
CDK10	Q15131	CDK10	Q15131	CDK10	T	Y	
PITSLRE	P21127	CDK11B	P21127	CDK11B CDC2L1 CDK11 PITSLREA PK58	F	Y	
CRK7	Q9NYV4	CDK12	Q9NYV4	CDK12 CRK7 CRKRS KIAA0904	F	Y	
CHED	Q14004	CDK13	Q14004	CDK13 CDC2L CDC2L5 CHED KIAA1791	F	Y	
PFTAIRE1	O94921	CDK14	O94921	CDK14 KIAA0834 PFTK1	F	N	
PFTAIRE2	Q96Q40	CDK15	Q96Q40	CDK15 ALS2CR7 PFTK2	F	N	
PCTAIRE1	Q00536	CDK16	Q00536	CDK16 PCTAIRE1 PCTK1	F	Y	
PCTAIRE2	Q00537	CDK17	Q00537	CDK17 PCTAIRE2 PCTK2	F	Y	
CDK11	Q9BWU1	CDK19	Q9BWU1	CDK19 CDC2L6 CDK11 KIAA1028	F	Y	
CDK2	P24941	CDK2	P24941	CDK2 CDKN2	T	Y	
CCRK	Q8IZL9	CDK20	Q8IZL9	CDK20 CCRK CDCH	F	Y	
CDK3	Q00526	CDK3	Q00526	CDK3 CDKN3	T	Y	
CDK4	P11802	CDK4	P11802	CDK4	T	Y	
CDK5	Q00535	CDK5	Q00535	CDK5 CDKN5	T	Y	
CDK6	Q00534	CDK6	Q00534	CDK6 CDKN6	T	Y	
CDK7	P50613	CDK7	P50613	CDK7 CAK CAK1 CDKN7 MO15 STK1	T	Y	
CDK8	P49336	CDK8	P49336	CDK8	T	Y	
CDK9	P50750	CDK9	P50750	CDK9 CDC2L4 TAK	T	Y	
CDKL1	Q00532	CDKL1	Q00532	CDKL1	T	Y	
CDKL3	Q8IVW4	CDKL3	Q8IVW4	CDKL3 NKIAMRE	T	Y	
CDKL4	Q2NME9	CDKL4	Q5MAI5	CDKL4	T	Y	Change
CDKL5	O76039	CDKL5	O76039	CDKL5 STK9	T	Y	
CHK1	O14757	CHEK1	O14757	CHEK1 CHK1	F	Y	
CHK2	O96017	CHEK2	O96017	CHEK2 CDS1 CHK2 RAD53	F	Y	
IKKa	O15111	CHUK	O15111	CHUK IKKA TCF16	F	N	
CLK1	B4DFW7	CLK1	P49759	CLK1 CLK	T	Y	Change
CLK2	P49760	CLK2	P49760	CLK2	T	Y	
CLK4	Q9HAZ1	CLK4	Q9HAZ1	CLK4	T	Y	
FMS	P07333	CSF1R	P07333	CSF1R FMS	F	Y	
CSK	P41240	CSK	P41240	CSK	T	Y	
CK1a	D3DQG1	CSNK1A1	P48729	CSNK1A1	F	N	Change
CK1a2	Q8N752	CSNK1A1L	Q8N752	CSNK1A1L	F	N	
CK1d	P48730	CSNK1D	P48730	CSNK1D HCKID	F	N	
CK1e	P49674	CSNK1E	P49674	CSNK1E	F	N	
CK1g1	Q9HCP0	CSNK1G1	Q9HCP0	CSNK1G1	F	N	
CK1g2	P78368	CSNK1G2	P78368	CSNK1G2 CK1G2	F	N	
CK1g3	Q9Y6M4	CSNK1G3	Q9Y6M4	CSNK1G3	F	N	
CK2a1	P68400	CSNK2A1	P68400	CSNK2A1 CK2A1	F	N	
CK2a2	P19784	CSNK2A2	P19784	CSNK2A2 CK2A2	F	N	
DAPK2	Q9UIK4	DAPK2	Q9UIK4	DAPK2	T	Y	
DAPK3	O43293	DAPK3	O43293	DAPK3 ZIPK	T	Y	
DCLK1	O15075	DCLK1	O15075	DCLK1 DCAMKL1 DCDC3A KIAA0369	T	Y	
DCLK2	Q8N568	DCLK2	Q8N568	DCLK2 DCAMKL2 DCDC3B DCK2	T	Y	
DCLK3	Q9C098	DCLK3	Q9C098	DCLK3 DCAMKL3 DCDC3C KIAA1765	T	Y	
FAK	Q658W2	DKFZp666O0110	Q658W2	DKFZp666O0110	F	N	
DMPK1	Q09013	DMPK	Q09013	DMPK DM1PK MDPK	F	N	
DYRK1A	Q13627	DYRK1A	Q13627	DYRK1A DYRK MNB MNBH	T	Y	
DYRK1B	Q9Y463	DYRK1B	Q9Y463	DYRK1B MIRK	T	Y	
DYRK2	Q92630	DYRK2	Q92630	DYRK2	T	Y	
DYRK3	O43781	DYRK3	O43781	DYRK3	T	Y	
DYRK4	Q9NR20	DYRK4	Q9NR20	DYRK4	T	Y	
EGFR	P00533	EGFR	P00533	EGFR ERBB ERBB1 HER1	T	Y	
HRI	Q9BQI3	EIF2AK1	Q9BQI3	EIF2AK1 HRI KIAA1369 PRO1362	F	Y	
PKR	P19525	EIF2AK2	P19525	EIF2AK2 PKR PRKR	F	Y	
PEK	B2RCU9	EIF2AK3	Q9NZJ5	EIF2AK3 PEK PERK	F	Y	Change
GCN2	Q9P2K8	EIF2AK4	Q9P2K8	EIF2AK4 GCN2 KIAA1338	F	Y	
EphA1	P21709	EPHA1	P21709	EPHA1 EPH EPHT EPHT1	F	N	
EphA10	Q5JZY3	EPHA10	Q5JZY3	EPHA10	F	N	
EphA2	P29317	EPHA2	P29317	EPHA2 ECK	F	N	
EphA3	P29320	EPHA3	P29320	EPHA3 ETK ETK1 HEK TYRO4	F	N	
EphA4	P54764	EPHA4	P54764	EPHA4 HEK8 SEK TYRO1	F	N	
EphA5	P54756	EPHA5	P54756	EPHA5 BSK EHK1 HEK7 TYRO4	F	N	
EphA6	Q9UF33	EPHA6	Q9UF33	EPHA6 EHK2 HEK12	F	N	
EphA7	Q15375	EPHA7	Q15375	EPHA7 EHK3 HEK11	F	N	
EphA8	P29322	EPHA8	P29322	EPHA8 EEK HEK3 KIAA1459	F	N	
EphB1	P54762	EPHB1	P54762	EPHB1 ELK EPHT2 HEK6 NET	F	N	
EphB2	P29323	EPHB2	P29323	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	F	N	
EphB3	P54753	EPHB3	P54753	EPHB3 ETK2 HEK2 TYRO6	F	N	
EphB4	P54760	EPHB4	P54760	EPHB4 HTK MYK1 TYRO11	F	N	
EphB6	D3DXD3	EPHB6	O15197	EPHB6	F	N	Change
ErbB2	P04626	ERBB2	P04626	ERBB2 HER2 MLN19 NEU NGL	F	N	
ErbB3	P21860	ERBB3	P21860	ERBB3 HER3	F	N	
ErbB4	Q15303	ERBB4	Q15303	ERBB4 HER4	F	N	
FER	P16591	FER	P16591	FER TYK3	T	Y	
FES	P07332	FES	P07332	FES FPS	T	Y	
FGR	P09769	FGR	P09769	FGR SRC2	T	Y	
FLT1	P17948	FLT1	P17948	FLT1 FLT FRT VEGFR1	T	Y	
FLT3	P36888	FLT3	P36888	FLT3 CD135 FLK2 STK1	T	Y	
FLT4	P35916	FLT4	P35916	FLT4 VEGFR3	T	Y	
FRK	P42685	FRK	P42685	FRK PTK5 RAK	T	Y	
FYN	P06241	FYN	P06241	FYN	T	Y	
RHOK	Q15835	GRK1	Q15835	GRK1 RHOK	F	Y	
BARK1	P25098	GRK2	P25098	GRK2 ADRBK1 BARK BARK1	F	Y	
BARK2	P35626	GRK3	P35626	GRK3 ADRBK2 BARK2	F	Y	
GPRK4	P32298	GRK4	P32298	GRK4 GPRK2L GPRK4	F	Y	
GPRK5	P34947	GRK5	P34947	GRK5 GPRK5	F	Y	
GPRK6	P43250	GRK6	P43250	GRK6 GPRK6	F	Y	
