Kinase	ID	Predictor	DMSO-1-DOX-1-E	DMSO-1-DOX-1-p	DMSO-2-DOX-2-E	DMSO-2-DOX-2-p	DMSO-3-DOX-3-E	DMSO-3-DOX-3-p
ABL1	Q59FK4	TK/Abl	1.04183319940634	0.0027413	0.980823198653378	0.14298	1.02521452663324	0.073417
ABL2	P42684	TK/Abl	1.05289431510785	0.12082	0.982527150731772	0.58068	0.992395665621611	0.82495
ACTR2	P27037	TKL/STKR	0.991251753993515	0.0253	0.994828889387085	0.17518	0.994233170377605	0.1536
ACTR2B	Q13705	TKL/STKR	0.98842977663224	0.0045977	0.995350662474024	0.2445	0.992030542777099	0.059441
AKT1	P31749	AGC/AKT	1.01006746227455	0.00012629	1.00259375249186	0.3125	1.00595453215161	0.027732
AKT2	P31751	AGC/AKT	0.99587722666672	0.50495	1.00584717715338	0.33612	0.999726615927924	0.96602
AKT3	Q9Y243	AGC/AKT	1.00428953018205	0.63537	1.00465701159399	0.59863	1.00174374209328	0.85131
ALK	Q9UM73	TK/Alk	1.04394173109986	0.010894	1.01604789085776	0.34158	1.04271404610279	0.018555
ALK1	P37023	TKL/STKR	0.983691756147174	0.00085863	0.99049338204145	0.047141	0.988630588119872	0.02538
ALK2	Q04771	TKL/STKR	0.985162772374992	0.0020015	0.990591915843729	0.045188	0.989428664581676	0.034076
ALK4	P36896	TKL/STKR	0.982953379137415	0.00091802	0.99036756976362	0.05555	0.989892893495467	0.058652
ALK7	Q8NER5	TKL/STKR	0.991120377445854	0.023354	0.994806887305223	0.1739	0.994124320886875	0.14648
AMPKa1	Q13131	CAMK/CAMKL/AMPK	1.01292619076874	0.29849	0.994056983009528	0.62191	0.99572525267039	0.73565
AMPKa2	P54646	CAMK/CAMKL/AMPK	1.02208395291115	0.016222	1.0064061958597	0.47346	1.00421557878655	0.65257
ARAF	P10398	TKL/RAF	1.01476432818293	0.0020736	1.01073965297153	0.021928	1.00778819732888	0.11382
ATM	Q13315	Atypical/PIKK/ATM	1.27198840391199	0	1.24765622484405	0	1.21779787877843	0
ATR	Q13535	Atypical/PIKK/ATR	1.26362422974333	4.4107e-043	1.25221862025955	4.2394e-043	1.20484290693032	1.7353e-026
AXL	P30530	TK/Axl	0.989820008183856	0.64051	1.00233842755119	0.9137	0.987567747926533	0.58849
AurA	O14965	Other/AUR/AUR-A	1.00990874684592	0.14828	1.01041032796095	0.1174	1.00806217170733	0.25171
AurB	C7G533	Other/AUR/AUR-B	0.958148564659104	3.2767e-011	0.960915904840664	1.794e-010	0.971723465477885	1.6057e-005
AurC	Q9UQB9	Other/AUR	1.00477063685598	0.80387	1.03606673118516	0.052231	1.01945554000556	0.32602
BARK1	P25098	AGC/GRK	1.012516702211	0.051401	1.02443164411715	0.00011086	1.01031649432191	0.12178
BARK2	P35626	AGC/GRK	1.01638414172539	0.085518	1.03781732207968	7.167e-005	1.01394127659459	0.16163
BCKDK	O14874	Atypical/PDHK	1.01217886345695	0.12581	1.03222771110275	4.305e-005	1.01347520990285	0.10212
BLK	P51451	TK/Src	1.08318039138331	0.0020588	0.996849443435285	0.90062	1.01095960223276	0.68301
BMPR1A	P36894	TKL/STKR	0.989088615077361	0.19036	0.988476449163873	0.15444	0.995762183034711	0.6246
BMPR1B	B4DSV1	TKL/STKR	0.986334506905228	0.0036489	0.99062661874468	0.041379	0.989050685369464	0.024677
BMPR2	Q13873	TKL/STKR	0.991010506581895	0.021824	0.994665588122463	0.1629	0.993968463175889	0.13642
BMX	P51813	TK/Tec	1.06312355868635	9.1942e-005	0.991948330342267	0.59447	1.02430185649835	0.13507
BRAF	P15056	TKL/RAF	1.00822668217498	0.051856	1.00740141841299	0.07407	1.00567864755488	0.19266
BRK	Q13882	TK/Src	1.04266292556913	3.1042e-005	0.992111930864945	0.41638	1.01672852385666	0.10734
BRSK1	Q8TDC3	CAMK/CAMKL	1.01659711596884	0.0039871	1.01602112639419	0.0043197	1.00621013565019	0.2933
BRSK2	Q8IWQ3	CAMK/CAMKL	1.0051859154249	0.20638	1.0040254436052	0.31558	1.00293240721534	0.48804
BTK	Q06187	TK/Tec	1.03481858322219	0.0050299	0.998240610399995	0.88319	0.991647537962175	0.50769
CASK	B7ZKY2	CAMK	1.02286493761344	0.023726	1.02534218952054	0.01071	1.01936276762792	0.064473
CCRK	Q8IZL9	CMGC/CDK	0.957850753592158	3.2521e-047	0.97459927504188	5.1012e-019	0.976580011663374	1.2476e-014
CDC2	P06493	CMGC/CDK/CDC2	0.949266849303065	0	0.957631593392359	8.173e-079	0.967543911129934	1.5063e-041
CDK10	Q15131	CMGC/CDK	0.926968364009645	6.8602e-052	0.938512436498071	1.5886e-039	0.954640987170807	1.7307e-019
CDK11	Q9BWU1	CMGC/CDK	0.89145306842386	2.9392e-076	0.905389047795347	8.3445e-062	0.929330119682907	2.1093e-030
CDK2	P24941	CMGC/CDK/CDC2	0.956712460381555	0	0.964421995314037	1.427e-084	0.971197796584947	8.7279e-050
CDK3	Q00526	CMGC/CDK/CDC2	0.885940199362832	0	0.908150780423109	4.6144e-066	0.925853130498553	1.2796e-037
CDK4	P11802	CMGC/CDK	0.964578760381628	2.4966e-062	0.975776401489749	1.5016e-031	0.978172948340482	3.7647e-023
CDK5	Q00535	CMGC/CDK	0.97180924473813	4.6844e-053	0.98140503320193	4.1074e-025	0.983575854039237	5.6138e-018
CDK6	Q00534	CMGC/CDK	0.97199711366952	7.4949e-057	0.981977714048755	1.36e-025	0.982661099494689	1.8172e-021
