ABL1-TK/Abl	ABL1	Q59FK4;TK/Abl
ABL2-TK/Abl	ABL2	P42684;TK/Abl
ACTR2-TKL/STKR	ACTR2	P27037;TKL/STKR
ACTR2B-TKL/STKR	ACTR2B	Q13705;TKL/STKR
AKT1-AGC/AKT	AKT1	P31749;AGC/AKT
AKT2-AGC/AKT	AKT2	P31751;AGC/AKT
AKT3-AGC/AKT	AKT3	Q9Y243;AGC/AKT
ALK-TK/Alk	ALK	Q9UM73;TK/Alk
ALK1-TKL/STKR	ALK1	P37023;TKL/STKR
ALK2-TKL/STKR	ALK2	Q04771;TKL/STKR
ALK4-TKL/STKR	ALK4	P36896;TKL/STKR
ALK7-TKL/STKR	ALK7	Q8NER5;TKL/STKR
AMPKa1-CAMK/CAMKL/AMPK	AMPKa1	Q13131;CAMK/CAMKL/AMPK
AMPKa2-CAMK/CAMKL/AMPK	AMPKa2	P54646;CAMK/CAMKL/AMPK
ARAF-TKL/RAF	ARAF	P10398;TKL/RAF
ATM-Atypical/PIKK/ATM	ATM	Q13315;Atypical/PIKK/ATM
ATR-Atypical/PIKK/ATR	ATR	Q13535;Atypical/PIKK/ATR
AXL-TK/Axl	AXL	P30530;TK/Axl
AurA-Other/AUR/AUR-A	AurA	O14965;Other/AUR/AUR-A
AurB-Other/AUR/AUR-B	AurB	C7G533;Other/AUR/AUR-B
AurC-Other/AUR	AurC	Q9UQB9;Other/AUR
BARK1-AGC/GRK	BARK1	P25098;AGC/GRK
BARK2-AGC/GRK	BARK2	P35626;AGC/GRK
BCKDK-Atypical/PDHK	BCKDK	O14874;Atypical/PDHK
BLK-TK/Src	BLK	P51451;TK/Src
BMPR1A-TKL/STKR	BMPR1A	P36894;TKL/STKR
BMPR1B-TKL/STKR	BMPR1B	B4DSV1;TKL/STKR
BMPR2-TKL/STKR	BMPR2	Q13873;TKL/STKR
BMX-TK/Tec	BMX	P51813;TK/Tec
BRAF-TKL/RAF	BRAF	P15056;TKL/RAF
BRK-TK/Src	BRK	Q13882;TK/Src
BRSK1-CAMK/CAMKL	BRSK1	Q8TDC3;CAMK/CAMKL
BRSK2-CAMK/CAMKL	BRSK2	Q8IWQ3;CAMK/CAMKL
BTK-TK/Tec	BTK	Q06187;TK/Tec
CASK-CAMK	CASK	B7ZKY2;CAMK
CCRK-CMGC/CDK	CCRK	Q8IZL9;CMGC/CDK
CDC2-CMGC/CDK/CDC2	CDC2	P06493;CMGC/CDK/CDC2
CDK10-CMGC/CDK	CDK10	Q15131;CMGC/CDK
CDK11-CMGC/CDK	CDK11	Q9BWU1;CMGC/CDK
CDK2-CMGC/CDK/CDC2	CDK2	P24941;CMGC/CDK/CDC2
